"h3_address","year","yield"
"8426001ffffffff",2010,144.1
"8426001ffffffff",2011,138.4
"8426001ffffffff",2012,20.9
"8426001ffffffff",2013,162.7
"8426001ffffffff",2014,167.7
"8426001ffffffff",2015,174.2
"8426001ffffffff",2016,149.2
"8426001ffffffff",2017,155.8
"8426001ffffffff",2018,166.7
"8426001ffffffff",2019,155.5
"8426001ffffffff",2020,180.5
"8426001ffffffff",2021,124.7
"8426001ffffffff",2022,67.9
"8426001ffffffff",2023,172.8
"8426001ffffffff",2024,160.5
"8426003ffffffff",2010,143.6
"8426003ffffffff",2011,122.7
"8426003ffffffff",2012,58.6
"8426003ffffffff",2013,166.7
"8426003ffffffff",2014,177
"8426003ffffffff",2015,196.3
"8426003ffffffff",2016,183.7
"8426003ffffffff",2017,182.2
"8426003ffffffff",2018,162.5
"8426003ffffffff",2019,186.1
"8426003ffffffff",2020,182.2
"8426003ffffffff",2021,148.6
"8426003ffffffff",2022,97.6
"8426003ffffffff",2023,180.4
"8426003ffffffff",2024,162.2
"8426005ffffffff",2010,144.1
"8426005ffffffff",2011,138.4
"8426005ffffffff",2012,20.9
"8426005ffffffff",2013,162.7
"8426005ffffffff",2014,167.7
"8426005ffffffff",2015,174.2
"8426005ffffffff",2016,149.2
"8426005ffffffff",2017,155.8
"8426005ffffffff",2018,166.7
"8426005ffffffff",2019,155.5
"8426005ffffffff",2020,180.5
"8426005ffffffff",2021,124.7
"8426005ffffffff",2022,67.9
"8426005ffffffff",2023,172.8
"8426005ffffffff",2024,160.5
"8426007ffffffff",2010,139.7
"8426007ffffffff",2011,129.2
"8426007ffffffff",2012,12.7
"8426007ffffffff",2013,160.2
"8426007ffffffff",2014,170.4
"8426007ffffffff",2015,170.4
"8426007ffffffff",2016,139.5
"8426007ffffffff",2017,140.7
"8426007ffffffff",2018,158.2
"8426007ffffffff",2019,156.4
"8426007ffffffff",2020,182
"8426007ffffffff",2021,119.5
"8426007ffffffff",2022,56.6
"8426007ffffffff",2023,160.6
"8426007ffffffff",2024,163.5
"8426009ffffffff",2010,143.3
"8426009ffffffff",2011,151.5
"8426009ffffffff",2012,66.5
"8426009ffffffff",2013,168.7
"8426009ffffffff",2014,168.3
"8426009ffffffff",2015,185.7
"8426009ffffffff",2016,174.3
"8426009ffffffff",2017,186.1
"8426009ffffffff",2018,187.3
"8426009ffffffff",2019,141.9
"8426009ffffffff",2020,177.1
"8426009ffffffff",2021,132.8
"8426009ffffffff",2022,120.5
"8426009ffffffff",2023,153
"8426009ffffffff",2024,179.6
"842600bffffffff",2010,153.2
"842600bffffffff",2011,143.7
"842600bffffffff",2012,62.8
"842600bffffffff",2013,170.7
"842600bffffffff",2014,166.9
"842600bffffffff",2015,192.6
"842600bffffffff",2016,183.7
"842600bffffffff",2017,186.4
"842600bffffffff",2018,170.1
"842600bffffffff",2019,169.3
"842600bffffffff",2020,169.6
"842600bffffffff",2021,182
"842600bffffffff",2022,129.3
"842600bffffffff",2023,152.5
"842600bffffffff",2024,172.7
"842600dffffffff",2010,136.7
"842600dffffffff",2011,136.6
"842600dffffffff",2012,62.4
"842600dffffffff",2013,161.7
"842600dffffffff",2014,157.4
"842600dffffffff",2015,173.6
"842600dffffffff",2016,146.4
"842600dffffffff",2017,163.6
"842600dffffffff",2018,182.2
"842600dffffffff",2019,132.1
"842600dffffffff",2020,177.4
"842600dffffffff",2021,148.7
"842600dffffffff",2022,112.7
"842600dffffffff",2023,178.3
"842600dffffffff",2024,168.4
"8426011ffffffff",2010,189.8
"8426011ffffffff",2011,169.6
"8426011ffffffff",2012,101.9
"8426011ffffffff",2013,189.7
"8426011ffffffff",2014,186.1
"8426011ffffffff",2015,214.6
