Commodity Code,Commodity Name,State Code,State Name,State Abbreviation,County Code,County Name,Irrigation Practice Code,Irrigation Practice Name,Yield Year,Yield Amount
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2010, 136.10
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2011, 122.50
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2012, 86.70
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2013, 186.20
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2014, 183.50
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2015, 152.70
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2016, 114.10
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2017, 191.30
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2018, 163.80
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2019, 167.90
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2020, 173.70
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2021, 182.70
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2022, 88.30
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2023, 166.00
0041, Corn, 01, Alabama, AL, 033, Colbert, 003, Non-Irrigated, 2024, 116.20
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2010, 103.70
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2011, 119.30
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2012, 119.80
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2013, 140.70
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2014, 151.70
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2015, 147.00
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2016, 88.80
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2017, 145.40
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2018, 159.50
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2019, 128.40
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2020, 139.00
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2021, 156.50
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2022, 122.90
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2023, 163.20
0041, Corn, 01, Alabama, AL, 071, Jackson, 003, Non-Irrigated, 2024, 106.80
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2010, 132.90
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2011, 126.00
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2012, 70.50
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2013, 171.30
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2014, 189.70
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2015, 163.40
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2016, 107.80
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2017, 182.50
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2018, 167.70
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2019, 181.50
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2020, 170.80
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2021, 184.80
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2022, 90.40
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2023, 165.40
0041, Corn, 01, Alabama, AL, 077, Lauderdale, 003, Non-Irrigated, 2024, 89.00
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2010, 142.20
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2011, 115.00
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2012, 73.80
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2013, 180.50
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2014, 191.30
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2015, 133.60
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2016, 104.80
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2017, 202.00
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2018, 174.10
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2019, 161.70
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2020, 169.40
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2021, 180.80
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2022, 87.50
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2023, 168.40
0041, Corn, 01, Alabama, AL, 079, Lawrence, 003, Non-Irrigated, 2024, 114.50
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2010, 130.10
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2011, 110.20
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2012, 63.40
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2013, 176.30
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2014, 185.90
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2015, 153.20
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2016, 86.80
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2017, 195.70
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2018, 168.40
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2019, 161.70
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2020, 172.60
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2021, 190.20
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2022, 91.00
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2023, 193.00
0041, Corn, 01, Alabama, AL, 083, Limestone, 003, Non-Irrigated, 2024, 88.40
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2010, 96.30
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2011, 132.10
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2012, 80.40
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2013, 168.00
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2014, 171.20
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2015, 152.30
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2016, 114.80
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2017, 172.70
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2018, 163.10
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2019, 165.60
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2020, 169.40
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2021, 188.70
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2022, 119.80
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2023, 190.00
0041, Corn, 01, Alabama, AL, 089, Madison, 003, Non-Irrigated, 2024, 109.40
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2010, 118.80
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2011, 129.20
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2012, 75.90
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2013, 153.80
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2014, 201.40
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2015, 157.90
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2016, 199.40
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2017, 198.90
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2018, 204.10
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2019, 175.40
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2020, 187.70
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2021, 189.20
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2022, 205.90
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2023, 193.60
0041, Corn, 17, Illinois, IL, 001, Adams, 003, Non-Irrigated, 2024, 211.80
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2010, 131.10
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2011, 126.20
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2012, 107.20
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2013, 179.60
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2014, 207.80
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2015, 135.40
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2016, 144.80
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2017, 139.10
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2018, 156.80
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2019, 144.90
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2020, 139.80
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2021, 151.90
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2022, 152.20
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2023, 158.40
0041, Corn, 17, Illinois, IL, 003, Alexander, 003, Non-Irrigated, 2024, 172.30
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2010, 146.40
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2011, 114.40
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2012, 29.10
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2013, 149.90
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2014, 191.40
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2015, 157.60
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2016, 162.30
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2017, 177.10
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2018, 209.00
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2019, 184.30
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2020, 191.10
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2021, 220.10
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2022, 211.70
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2023, 179.50
0041, Corn, 17, Illinois, IL, 005, Bond, 003, Non-Irrigated, 2024, 194.80
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2010, 183.60
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2011, 184.80
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2012, 113.50
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2013, 179.20
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2014, 195.40
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2015, 202.70
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2016, 219.90
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2017, 173.90
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2018, 200.20
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2019, 187.30
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2020, 197.40
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2021, 213.70
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2022, 219.50
0041, Corn, 17, Illinois, IL, 007, Boone, 003, Non-Irrigated, 2023, 216.30
